Market,Customer,Category,Division,PromotionType,InStoreLocation,PromotionMonth,PromoDurationWeeks,ListPrice,PlannedPromoVolume,PlannedBaseVolume,PlannedIncrementalVolume,PlannedVolumeUplift,PlannedPromoRevenue,PlannedOnInvoiceSpend,PlannedOffInvoiceSpend,PlannedTradeSpend,PlannedCostPerUnit,PlannedNetRevenue,PlannedTurnover,PlannedGrossProfit,PlannedCOGS,PlannedEventSpend,PlannedBaseRevenue,PlannedBaseOnInvoiceSpend,PlannedBaseOffInvoiceSpend,PlannedBaseTurnover,PlannedBaseGrossProfit,PlannedBaseCOGS,PlannedBaseNetRevenue,PlannedROI,IsPipeFill,IsDefensivePromo,InstoreStartDate_Week,InstoreEndDate_Week,InstoreStartDate_Month,InstoreEndDate_Month,ActualSalesVolume,ForecastAccuracyRatio
Southeast Asia,CityGrocer Ltd,FABRIC ENHANCER,Personal Care & Home,Multi-Buy Free Gift,Shelf,February,3,5.39,8531.0,3312.0,5219.0,2.576,45975.24,4303.02,2868.68,7171.71,0.8407,41672.22,38803.53,13192.13,25611.41,683.45,17848.46,356.97,178.48,17313.0,7370.17,9942.83,17491.49,0.7371,0,0,9,12,2,2,20624.0,2.418
Southeast Asia,PrimeRetail Group,FABRIC CLEANING,Food & Beverage,Multi-Buy Free Gift,Free Standing Unit,August,3,18.4,7932.0,2043.0,5889.0,3.883,145957.7,16597.56,11065.04,27662.6,3.4877,129360.14,118295.1,37213.03,81082.07,1074.29,37590.83,751.82,375.91,36463.11,15580.74,20882.37,36839.02,0.7412,0,0,33,36,8,8,41230.0,5.198
Southeast Asia,Metro Grocery Group,SKIN CARE,Food & Beverage,Multi-Unit Deal,Checkout Display,July,1,22.61,31078.0,9476.0,21601.0,3.279,702707.57,57932.44,38621.63,96554.07,3.1069,644775.13,606153.5,272492.85,333660.65,1758.47,214276.38,4285.53,2142.76,207848.09,106105.06,101743.03,209990.85,1.6567,0,0,30,31,7,7,40871.0,1.315
Southeast Asia,EastMart Retail,HAIR CARE,Personal Care & Home,Discounted Retail Price,Free Standing Unit,August,2,6.14,1164.0,416.0,748.0,2.798,7148.71,732.5,488.33,1220.83,1.049,6416.22,5927.88,2445.35,3482.53,15.56,2554.68,51.09,25.55,2478.04,1233.51,1244.53,2503.59,0.9299,0,0,33,35,8,8,2809.0,2.414
Western Europe,HealthFirst Pharmacy,SKIN CLEANSING,Personal Care & Home,Loyalty Mechanic,Shelf,March,1,18.53,3416.0,3660.0,-244.0,0.933,63298.79,6663.93,4442.62,11106.55,3.2514,56634.86,52192.24,12788.87,39403.36,526.45,67819.99,1356.4,678.2,65785.39,23567.59,42217.8,66463.59,-1.1537,0,1,14,15,3,3,3134.0,0.917
Western Europe,GreenLeaf Supermarkets,FABRIC ENHANCER,Personal Care & Home,Stock Loading,End of Aisle Display,February,2,8.11,825.0,1187.0,-362.0,0.695,6694.96,476.56,317.71,794.26,0.9623,6218.4,5900.69,2251.42,3649.27,93.29,9631.37,192.63,96.31,9342.43,4092.59,5249.84,9438.75,-2.6819,1,1,9,11,2,2,887.0,1.075
Western Europe,NorthernMart Supermarkets,HEALTHY SNACKING,Personal Care & Home,Multi-Buy Deal,Free Standing Unit,October,1,2.74,573.0,1507.0,-934.0,0.38,1569.88,164.96,109.97,274.93,0.4798,1404.93,1294.96,551.47,743.49,1.86,4128.95,82.58,41.29,4005.08,2049.63,1955.45,4046.37,-5.8999,0,1,41,42,10,10,403.0,0.704
Southeast Asia,PrimeRetail Group,SKIN CARE,Personal Care & Home,Multi-Unit Deal,Pallet Display,June,2,4.01,1219.0,533.0,686.0,2.289,4883.11,307.69,205.13,512.82,0.4207,4575.42,4370.29,2075.72,2294.57,58.97,2133.45,42.67,21.33,2069.45,1066.94,1002.51,2090.78,1.8423,0,0,27,29,6,6,3644.0,2.989
Southeast Asia,PrimeRetail Group,DEODORANT & FRAGRANCE,Personal Care & Home,Special Pack,In-Store Event,July,3,7.73,2500.0,1248.0,1252.0,2.004,19333.36,875.38,583.59,1458.97,0.5835,18457.97,17874.39,8804.56,9069.82,91.73,9649.02,192.98,96.49,9359.55,4832.92,4526.63,9456.04,2.5238,0,0,29,32,7,7,8358.0,3.343
Southeast Asia,Metro Grocery Group,FABRIC CLEANING,Personal Care & Home,Multi-Buy Free Gift,Mid Aisle Display,April,2,3.84,17257.0,6192.0,11065.0,2.787,66269.87,2083.69,1389.13,3472.82,0.2012,64186.18,62797.05,20202.95,42594.1,196.38,23779.44,475.59,237.79,23066.06,7782.13,15283.93,23303.85,3.3712,0,0,18,20,4,4,61788.0,3.58
